dataset,model,sensitive,compression,seed,group,n,selection_rate,mean_entropy,mean_variance,mutual_information,ece,selection_disparity,entropy_disparity,variance_disparity,mi_disparity,ece_disparity,spearman_entropy_ece,spearman_mi_ece,spearman_entropy_selection,config_hash,python,versions
adult,logreg,race,prune:0.9,0,Amer-Indian-Eskimo,113,0.061947,0.325101,0.001786,0.00501,0.056669,0.096961,0.113501,0.000873,0.002024,0.047178,0.0,0.4,1.0,fd22da94ba42,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.9,0,Asian-Pac-Islander,371,0.137466,0.342512,0.001832,0.00486,0.051379,0.096961,0.113501,0.000873,0.002024,0.047178,0.0,0.4,1.0,fd22da94ba42,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.9,0,Black,1175,0.040851,0.233588,0.000959,0.002986,0.014591,0.096961,0.113501,0.000873,0.002024,0.047178,0.0,0.4,1.0,fd22da94ba42,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.9,0,Other,103,0.058252,0.259667,0.001076,0.003354,0.061769,0.096961,0.113501,0.000873,0.002024,0.047178,0.0,0.4,1.0,fd22da94ba42,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,prune:0.9,0,White,10449,0.137812,0.347089,0.001828,0.004857,0.030499,0.096961,0.113501,0.000873,0.002024,0.047178,0.0,0.4,1.0,fd22da94ba42,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,sex,none,1,Female,4072,0.077603,0.218133,0.000774,0.002507,0.01297,0.190734,0.154704,0.001244,0.002893,0.007379,nan,nan,nan,9c9294008814,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,sex,none,1,Male,8139,0.268338,0.372837,0.002018,0.0054,0.005591,0.190734,0.154704,0.001244,0.002893,0.007379,nan,nan,nan,9c9294008814,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,sex,prune:0.5,1,Female,4072,0.077849,0.218386,0.000769,0.002486,0.011104,0.182871,0.155057,0.001242,0.002901,0.005679,nan,nan,nan,59ac0bdafad3,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,sex,prune:0.5,1,Male,8139,0.26072,0.373443,0.00201,0.005387,0.005425,0.182871,0.155057,0.001242,0.002901,0.005679,nan,nan,nan,59ac0bdafad3,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,sex,prune:0.9,1,Female,4072,0.038802,0.207675,0.000732,0.002356,0.012062,0.139599,0.197887,0.001465,0.003274,0.020324,nan,nan,nan,d63ba6ade0ca,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,sex,prune:0.9,1,Male,8139,0.1784,0.405562,0.002197,0.00563,0.032387,0.139599,0.197887,0.001465,0.003274,0.020324,nan,nan,nan,d63ba6ade0ca,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,none,1,Amer-Indian-Eskimo,123,0.121951,0.262261,0.001222,0.003552,0.025711,0.153883,0.113068,0.000841,0.001825,0.047126,-0.6,-0.6,0.8,bfff18071fd3,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
