dataset,model,sensitive,compression,top_k,n_features,n_groups,n_flips,flip_rate,flipped_features,seed,config_hash,python,versions
compas,logreg,sex,prune:0.7,3,5,2,0,0.0,,2,804b6f62f78a,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.9,3,5,2,0,0.0,,2,653fe6b599ed,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,none,3,5,6,0,0.0,,2,69615063bca0,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.3,3,5,6,0,0.0,,2,8af9f83e4086,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.5,3,5,6,0,0.0,,2,c1ad7cf8e4b8,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.7,3,5,6,0,0.0,,2,a3b41209c425,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.9,3,5,6,0,0.0,,2,5a6a9230561b,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,none,3,5,2,0,0.0,,3,b1dd4bd1076b,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.3,3,5,2,0,0.0,,3,a1114dffdeca,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.5,3,5,2,0,0.0,,3,b084b7449c64,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
