dataset,model,sensitive,sparsity,seed,binning,n_bins,mean_ece_per_group,ece_disparity,min_group_ece,max_group_ece,n_groups_scored,mean_confidence,std_confidence,n_distinct_confidence,python,versions
adult,mlp,sex,0.3,0,equal_mass,10,0.073257,0.077547,0.034483,0.11203,2,0.860869,0.152927,10594,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.3,0,equal_mass,15,0.073727,0.076606,0.035424,0.11203,2,0.860869,0.152927,10594,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.3,1,equal_width,10,0.202954,0.057027,0.174441,0.231468,2,0.851629,0.149294,11061,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.3,1,equal_width,15,0.204038,0.059195,0.174441,0.233635,2,0.851629,0.149294,11061,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.3,1,equal_mass,10,0.202954,0.057027,0.174441,0.231468,2,0.851629,0.149294,11061,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.3,1,equal_mass,15,0.202954,0.057027,0.174441,0.231468,2,0.851629,0.149294,11061,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.3,2,equal_width,10,0.379768,0.030922,0.364308,0.395229,2,0.88481,0.140195,10860,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.3,2,equal_width,15,0.381802,0.026854,0.368375,0.395229,2,0.88481,0.140195,10860,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.3,2,equal_mass,10,0.379768,0.030922,0.364308,0.395229,2,0.88481,0.140195,10860,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.3,2,equal_mass,15,0.379768,0.030922,0.364308,0.395229,2,0.88481,0.140195,10860,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.3,3,equal_width,10,0.122433,0.051457,0.096704,0.148161,2,0.839073,0.158763,10609,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.3,3,equal_width,15,0.122865,0.050592,0.097569,0.148161,2,0.839073,0.158763,10609,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.3,3,equal_mass,10,0.122433,0.051457,0.096704,0.148161,2,0.839073,0.158763,10609,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.3,3,equal_mass,15,0.122433,0.051457,0.096704,0.148161,2,0.839073,0.158763,10609,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.3,4,equal_width,10,0.064797,0.074889,0.027353,0.102242,2,0.884302,0.144185,9414,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.3,4,equal_width,15,0.065821,0.072841,0.029401,0.102242,2,0.884302,0.144185,9414,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.3,4,equal_mass,10,0.064807,0.07487,0.027371,0.102242,2,0.884302,0.144185,9414,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.3,4,equal_mass,15,0.064404,0.075676,0.026566,0.102242,2,0.884302,0.144185,9414,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.5,0,equal_width,10,0.167231,0.061836,0.136313,0.198149,2,0.816501,0.157622,11450,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.5,0,equal_width,15,0.167326,0.062025,0.136313,0.198338,2,0.816501,0.157622,11450,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.5,0,equal_mass,10,0.167231,0.061836,0.136313,0.198149,2,0.816501,0.157622,11450,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.5,0,equal_mass,15,0.167231,0.061836,0.136313,0.198149,2,0.816501,0.157622,11450,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.5,1,equal_width,10,0.105935,0.025101,0.093385,0.118485,2,0.819885,0.160011,11342,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.5,1,equal_width,15,0.1063,0.02583,0.093385,0.119215,2,0.819885,0.160011,11342,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.5,1,equal_mass,10,0.105935,0.025101,0.093385,0.118485,2,0.819885,0.160011,11342,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.5,1,equal_mass,15,0.106384,0.025999,0.093385,0.119384,2,0.819885,0.160011,11342,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.5,2,equal_width,10,0.423215,0.104136,0.371147,0.475283,2,0.854344,0.147753,11174,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.5,2,equal_width,15,0.423215,0.104136,0.371147,0.475283,2,0.854344,0.147753,11174,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
