dataset,model,sensitive,compression,group,top_k,top_features,top_importances,seed,config_hash,python,versions
compas,logreg,race,prune:0.3,Native American,3,priors_count|age|juv_other_count,0.083214|0.050969|0.006041,0,801a05db79d8,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.3,Asian,3,priors_count|age|juv_other_count,0.088519|0.087280|0.006026,0,801a05db79d8,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.5,Caucasian,3,priors_count|age|juv_fel_count,0.107519|0.101532|0.000000,0,c23736a1e666,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.5,African-American,3,priors_count|age|juv_fel_count,0.146228|0.084391|0.000000,0,c23736a1e666,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.5,Other,3,priors_count|age|juv_fel_count,0.111368|0.091873|0.000000,0,c23736a1e666,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.5,Hispanic,3,priors_count|age|juv_fel_count,0.119563|0.085295|0.000000,0,c23736a1e666,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.5,Native American,3,priors_count|age|juv_fel_count,0.083634|0.051325|0.000000,0,c23736a1e666,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.5,Asian,3,priors_count|age|juv_fel_count,0.088973|0.087749|0.000000,0,c23736a1e666,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.7,Caucasian,3,priors_count|age|juv_fel_count,0.113997|0.000000|0.000000,0,9af2a1518654,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.7,African-American,3,priors_count|age|juv_fel_count,0.145181|0.000000|0.000000,0,9af2a1518654,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.7,Other,3,priors_count|age|juv_fel_count,0.114647|0.000000|0.000000,0,9af2a1518654,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.7,Hispanic,3,priors_count|age|juv_fel_count,0.124865|0.000000|0.000000,0,9af2a1518654,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.7,Native American,3,priors_count|age|juv_fel_count,0.087366|0.000000|0.000000,0,9af2a1518654,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.7,Asian,3,priors_count|age|juv_fel_count,0.090720|0.000000|0.000000,0,9af2a1518654,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
