dataset,model,sensitive,mechanism,level,seed,demographic_parity_difference,equalized_odds_difference,disparate_impact_ratio,accuracy,balanced_accuracy,positive_prediction_rate,mean_predicted_prob,std_predicted_prob,mean_group_predictive_entropy,mean_ece_per_group,ece_disparity,selective_fairness_auc,n_params,n_train_effective,label_flip_fraction,skip_reason,python,versions
adult,logreg,sex,prune,0.7,1,0.165423,0.08573,0.314471,0.852674,0.759604,0.186144,0.235084,0.278872,0.299426,0.00918,0.003878,0.095016,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune,0.7,2,0.139785,0.056439,0.3694,0.844239,0.740923,0.176235,0.230385,0.272409,0.302897,0.015507,0.000128,0.084441,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune,0.7,3,0.133986,0.052186,0.378597,0.843584,0.73627,0.170993,0.226555,0.270355,0.304844,0.017422,0.000939,0.084056,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune,0.7,4,0.146877,0.079233,0.333442,0.850381,0.746368,0.172058,0.226906,0.272173,0.313244,0.010474,0.010955,0.103081,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune,0.9,0,0.140342,0.167524,0.192539,0.823274,0.676944,0.127099,0.216908,0.247791,0.300708,0.02648,0.010641,0.070312,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune,0.9,1,0.139599,0.156472,0.217497,0.826386,0.684619,0.131848,0.217904,0.250281,0.306619,0.022225,0.020324,0.080142,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune,0.9,2,0.108288,0.070221,0.258712,0.819835,0.660609,0.110884,0.204265,0.2373,0.308579,0.026987,0.022099,0.072512,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune,0.9,3,0.123973,0.130499,0.228109,0.821391,0.668786,0.119319,0.209772,0.239674,0.314373,0.025164,0.013071,0.078005,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune,0.9,4,0.128508,0.153125,0.212227,0.82655,0.676986,0.120875,0.211758,0.242514,0.323661,0.021262,0.011446,0.093971,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune,0.95,0,0.065612,0.039011,0.268753,0.803702,0.607664,0.06789,0.18017,0.208856,0.299238,0.048835,0.046971,0.045057,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune,0.95,1,0.064028,0.028584,0.285147,0.796986,0.598676,0.068217,0.186973,0.211673,0.315992,0.04589,0.048339,0.052464,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune,0.95,2,0.035881,0.041392,0.431293,0.800344,0.591265,0.051429,0.168411,0.194258,0.314959,0.05698,0.055857,0.040822,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune,0.95,3,0.049574,0.014318,0.355069,0.80059,0.597994,0.060355,0.17342,0.201147,0.312982,0.054983,0.046451,0.054764,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,prune,0.95,4,0.059473,0.047073,0.26479,0.804029,0.603422,0.061338,0.175132,0.204179,0.324913,0.045208,0.030244,0.069709,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.0,0,0.177187,0.093685,0.301623,0.853902,0.767449,0.194742,0.238785,0.28496,0.288715,0.008712,0.003306,0.095508,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.0,1,0.190734,0.124504,0.2892,0.856523,0.778202,0.204733,0.242087,0.288425,0.295485,0.00928,0.007379,0.106242,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.0,2,0.165255,0.072526,0.332011,0.848252,0.758926,0.193678,0.238568,0.284144,0.296264,0.013711,0.000267,0.099078,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.0,3,0.164557,0.068316,0.340152,0.849644,0.761483,0.194579,0.238038,0.283732,0.299351,0.01055,0.002651,0.100083,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.0,4,0.17375,0.115883,0.309714,0.853575,0.766881,0.194579,0.237738,0.284909,0.306853,0.00964,0.011176,0.119059,102,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.05,0,0.171926,0.108381,0.287548,0.853411,0.75915,0.184096,0.266005,0.244723,0.396224,0.046457,0.018481,0.088847,102,36631,0.05,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.05,1,0.18606,0.136948,0.26914,0.856113,0.768902,0.192531,0.267198,0.246598,0.403264,0.053869,0.01573,0.096547,102,36631,0.05,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.05,2,0.164012,0.070416,0.308195,0.848497,0.752167,0.183769,0.264434,0.244079,0.402707,0.049602,0.02759,0.088717,102,36631,0.05,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.05,3,0.156461,0.082777,0.332519,0.850626,0.754036,0.182295,0.262572,0.242159,0.407048,0.051381,0.017933,0.086867,102,36631,0.05,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.05,4,0.161376,0.094377,0.315759,0.850135,0.753713,0.182786,0.263295,0.243353,0.417078,0.057659,0.018632,0.106242,102,36631,0.05,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.1,0,0.167386,0.094234,0.291589,0.8512,0.753592,0.180575,0.291901,0.215329,0.466675,0.08355,0.02571,0.081559,102,36631,0.1,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.1,1,0.175003,0.117865,0.286397,0.856195,0.764968,0.186881,0.292841,0.2165,0.476067,0.092844,0.025076,0.092568,102,36631,0.1,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.1,2,0.155892,0.064999,0.308471,0.846204,0.742567,0.17476,0.290703,0.21211,0.478724,0.089834,0.038556,0.08292,102,36631,0.1,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.1,3,0.156716,0.115086,0.309737,0.846941,0.743638,0.174842,0.288926,0.211908,0.480153,0.089458,0.025811,0.082824,102,36631,0.1,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.1,4,0.164552,0.110953,0.293149,0.850135,0.750781,0.178691,0.289272,0.215344,0.486594,0.097778,0.027336,0.103729,102,36631,0.1,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.2,0,0.15722,0.113713,0.274706,0.84211,0.729554,0.164442,0.342284,0.156449,0.574063,0.151177,0.054311,0.06785,102,36631,0.2,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.2,1,0.159888,0.104998,0.290056,0.848252,0.743326,0.171894,0.34138,0.158993,0.577376,0.16035,0.04759,0.07119,102,36631,0.2,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.2,2,0.129237,0.047591,0.367473,0.840799,0.72623,0.162313,0.340663,0.157282,0.577759,0.155994,0.055102,0.062661,102,36631,0.2,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.2,3,0.151194,0.11159,0.309021,0.843502,0.73434,0.168455,0.339973,0.156688,0.581674,0.160163,0.048269,0.068053,102,36631,0.2,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,logreg,sex,label_noise,0.2,4,0.157979,0.125221,0.299353,0.842683,0.736851,0.173532,0.343073,0.160614,0.586739,0.166148,0.04571,0.091111,102,36631,0.2,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
