dataset,model,sensitive,mechanism,level,seed,demographic_parity_difference,equalized_odds_difference,disparate_impact_ratio,accuracy,balanced_accuracy,positive_prediction_rate,mean_predicted_prob,std_predicted_prob,mean_group_predictive_entropy,mean_ece_per_group,ece_disparity,selective_fairness_auc,n_params,n_train_effective,label_flip_fraction,skip_reason,python,versions
adult,mlp,sex,prune,0.3,2,0.195461,0.153973,0.748675,0.516092,0.675485,0.714192,0.683704,0.388814,0.273875,0.379768,0.030922,0.195602,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.3,2,0.202968,0.188428,0.731366,0.516092,0.675485,0.714192,0.683704,0.388814,0.27315,0.4129,0.168421,0.28369,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.3,3,0.224015,0.162396,0.539415,0.686185,0.692514,0.41176,0.402311,0.379543,0.321395,0.122433,0.051457,0.185845,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.3,3,0.157252,0.172129,0.644312,0.686185,0.692514,0.41176,0.402311,0.379543,0.299487,0.1212,0.117585,0.168897,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.3,4,0.057857,0.11743,0.606474,0.806977,0.655207,0.127999,0.162175,0.277621,0.234546,0.064797,0.074889,0.052139,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.3,4,0.148796,0.113158,0.34459,0.806977,0.655207,0.127999,0.162175,0.277621,0.237304,0.068178,0.101961,0.078792,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.5,0,0.228578,0.164159,0.609351,0.651462,0.714496,0.509049,0.494199,0.376347,0.382615,0.167231,0.061836,0.227365,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.5,0,0.17599,0.179487,0.665102,0.651462,0.714496,0.509049,0.494199,0.376347,0.354565,0.188728,0.077522,0.172451,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.5,1,0.121349,0.063001,0.732486,0.678241,0.682602,0.413152,0.421452,0.363452,0.362932,0.105935,0.025101,0.140732,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,race,prune,0.5,1,0.147047,0.262821,0.694594,0.678241,0.682602,0.413152,0.421452,0.363452,0.339236,0.133512,0.189718,0.251575,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
adult,mlp,sex,prune,0.5,2,0.067129,0.048684,0.910154,0.465154,0.613503,0.72533,0.679687,0.352605,0.315192,0.423215,0.104136,0.084337,4353,36631,0.0,,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
